"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","Human-IgG1","Mouse-IgG1","P1","P2","R1","R10","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Not done","Weak binding only","sGP.binderTRUE"
"1",0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1.38,0.61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,43.32,73.93,33.39,32.1,56.48,154.45,40.68,274.7,57.57,85.06,4.34,10.6,12.86,2.51,8.44,8.44,83.41,1.62,0.03,0.12,1.24,0.02,0.01,2.73,0.23,4.8,0.08,1.1,2.44,1.27,0.9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.91,1000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,25.58,66.5,40.54,39.1,74.28,126.64,35.44,162.02,46.01,72.1,17.31,10.59,56.49,1.31,11.21,11.21,40.39,31.35,0.36,0.43,0.61,2.53,10.23,3.26,0.26,2.58,0.06,1.64,5.69,0.44,0.18,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"3",0.1,0,1,0,0,0,0,0,0,0,0,0,0.2,0,175.8,22.19,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,38.01,45.89,8.98,5.95,15.1,16.45,39.01,269.58,27.54,55.52,31.83,12.66,98.14,0.81,13.02,13.02,0.67,54.38,0.47,0.33,0.8,2.46,26.51,1.62,0.11,1.2,0.06,0.05,11.17,0.01,0.16,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"4",0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.68,1000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,39.95,62.92,45.94,41.15,84.93,101.97,31.96,164.1,31.82,88.83,2.71,8.47,12.47,1.85,6.78,6.78,83.24,5.18,0.41,0.17,1.29,0.15,0.21,0.84,0.06,2.35,0.18,2.03,2.69,0.81,0.41,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"5",0.3,0,1,0,0,0,0,0,0,0,0.987,0.7,0.62,0,44.24,7.45,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,51.91,44.98,9.53,6.37,16.39,19.28,32.63,214.98,31.26,66.79,18.57,14.64,97.03,2.05,17.02,17.02,0.21,66.12,0.47,0.45,1.05,1.43,11.76,3.75,0.13,1,0.37,0.23,11.96,1.03,0.05,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"6",0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,4.31,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,31.5,58.63,11.15,6.04,18.59,42.1,41.57,107,25.73,61.53,25.17,13.3,98.24,0.77,13.53,13.53,0.26,60.83,0.44,0.37,0.45,2.06,20.82,1.45,0.03,1.19,0.03,0.42,11.39,0.27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"7",0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.77,1000,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21.44,37.49,10.9,6.89,19.2,12.02,29.65,125.61,19.85,68.6,22.92,8.48,97.79,1.66,12.87,12.87,0.56,67.71,0.33,0.33,0.04,6.73,10.13,5.62,0.06,1.18,0.06,0.09,5.93,1.19,0.03,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"8",0,0,1,0,0,0,0,0,0,0,0.9,0.991,0.61,0.999,216.6,5.38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,36.61,51.74,9.45,6.17,15.27,38.64,28.42,276.68,98.72,38.7,44.58,16.72,94.93,3.46,14.14,14.14,1.16,36.51,1.04,2.23,1.03,2.61,36.18,2.16,0.38,3.79,0.95,0.4,10.48,0.26,0.84,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"9",0.2,0,0,0,0,0,0,0,1,0,0,0,0.1,0,9.05,1000,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,31.5,38.94,9.28,6.13,14.63,23.19,31.35,127.89,26.81,23.28,49.07,27.65,98.34,0.42,30.24,30.24,0.06,23.18,0.05,0.27,1.1,13.18,22.11,12.39,0.01,9.78,0.02,0.03,17.48,0.2,0.14,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"10",0.1,0,0,0,0,0,1,0,0,0,0,0,0.17,0,21.64,3.52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.75,17.2,9.1,6.51,14.04,25.7,34.99,253.05,44.86,56.72,24.49,18.79,96.89,2.81,27.47,27.47,0.09,55.88,0.75,0.42,0.4,5.27,8.36,10.02,0.01,1.19,0.15,0.35,15.2,1.85,0.05,0,0,0,0,0,0,0,0,1,0,0,1,0,1
