"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","Human-IgG1","Mouse-IgG1","P1","P2","R1","R10","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Weak binding only","sGP.binderTRUE"
"Protection",1,0.308313967011536,-0.0242297376009892,0.213988802961963,-0.132780850062929,-0.10448863184466,0.211196177880867,0.195202405994109,-0.180914344248619,-0.191845706848644,0.666293792703862,0.67985059992737,0.653696855679154,0.612707995807886,-0.172263057735329,-0.121516597157646,0.324666981542352,-0.324666981542352,-0.159705622598438,-0.215750027677699,-0.0305440045915323,0.313738072113647,-0.117198513296597,-0.183629332294848,0.353333244370302,-0.0975045291841543,-0.0794544669519408,0.23073266642487,0.409997548274053,-0.0823376991872334,0.0212206685909005,-0.204121774033767,-0.0956415985729222,-0.201169206399324,-0.0177679470971497,-0.0724599092555636,-0.0486735057309304,0.0230520789370055,-0.0293914006446821,-0.00616428650507713,0.165339488414483,-0.106830799706771,0.133125755861207,-0.153834395096889,0.0991239394291238,0.113569848873315,0.0897800746294736,0.350734435142927,0.214160107483797,-0.00238361049187726,0.133154954713295,0.22693221000949,0.174660873910578,0.0656226174856615,0.0605689210213681,-0.0675577371925844,0.127676203588449,0.345560024922294,-0.260465037807982,-0.359050948544843,0.0047464820464172,0.100131657285041,-0.220455339646881,-0.220455339646881,-0.171116558909226,0.289527309842392,0.16940013453596,0.0876342308280013,-0.113795616119143,0.0433975769310632,-0.221724968753795,-0.17704251269933,-0.0336087061176832,-0.219483661705021,-0.0224663485372224,0.0693643503908637,-0.224279801639242,0.11871953396172,0.190240972550943,0.130244245994081,-0.0873164868497685,-0.0170636654356228,0.0849721382680479,0.144075493356285,0.123508435534031,0.12448122625983,0.123508435534031,-0.211671666260744,0.474154379942995,0.0565799247094492,0.133570625829646,-0.0321434257178891
"Base",0.308313967011536,1,-0.17813189483828,-0.0678523250247418,-0.0915032679738562,-0.147274110147469,-0.0583957162473784,-0.0678523250247418,-0.111576987834096,-0.117827222878271,0.445559372813807,0.381125815813786,0.326251926066128,0.346438912631186,0.094126078192685,0.273488151154376,-0.0206420209638256,0.0206420209638256,0.0467314210487706,0.0333203381817929,-0.0333036112290428,-0.0168940135970253,-0.0450292843759032,-0.0763428688805185,-0.0450292843759032,0.0880661225404832,-0.05314296696144,0.0577005291491953,0.131678791544841,-0.0135387488328665,0.0577005291491953,0.0561105503490045,0.0831652471865998,-0.080325298075868,-0.0721956471462458,-0.0721956471462458,-0.0950259320426688,-0.0333036112290428,-0.0333036112290428,-0.0678523250247418,0.13772013063694,-0.126924112276145,0.165328641458463,0.00885547476187149,-0.0333036112290428,-0.0473864850847115,0.0445482190163312,-0.0152716584809588,0.0616285028084377,-0.161352234970427,-0.041234805348407,-0.0853955372292725,-0.0598354423709093,-0.161353482208157,-0.137373765519988,-0.240235549844858,-0.0647651194702718,0.106447723583687,-0.0730567063893877,-0.134236441357168,0.0396663198921108,0.00291333802207263,-0.0851586177090069,-0.0851586177090069,-0.0148228817531574,-0.0690230338991132,-0.0596131828553671,-0.0246550066074256,-0.0322732120276664,-0.129979361456495,-0.0546805852967001,0.0233077101391652,-0.0972789062273337,-0.0663339957035936,0.0318335879868619,0.027119336496081,-0.109138124365336,-0.0320509096788154,0.0423616475997152,0.165328641458463,-0.0409125930223745,-0.0234781708373247,0.0736409685037096,0.165328641458463,-0.0234781708373247,0.165328641458463,-0.0234781708373247,-0.183987632944072,-0.0648319134168863,0.235240050956247,-0.0409125930223745,-0.286609454142397
"Cap",-0.0242297376009892,-0.17813189483828,1,-0.132089962396681,-0.17813189483828,-0.28670250672015,-0.113680525471025,-0.132089962396681,-0.217209950019643,-0.229377452189309,-0.128780103046706,-0.103287308630502,0.059638234841295,-0.0955087943912669,0.103976792842479,-0.527821044751599,-0.000167734452313475,0.000167734452313475,0.147503726802123,-0.132089962396681,-0.0648330437212558,0.00702694927730573,-0.0906725256477346,-0.0908993655343939,0.246760606010687,0.0780440401814763,0.0572610597745177,-0.113680525471025,-0.184989560573624,-0.0298859159114057,0.107071192594803,-0.0412999949187625,-0.0577922822719293,-0.101162071622175,0.0414009191197816,0.0414009191197816,0.00659652696619123,-0.0648330437212558,-0.0648330437212558,-0.00383982448827561,-0.0269142676458914,-0.0551635230446301,-0.0648330437212558,0.111759966820438,0.186960405149668,-0.0922485564152449,-0.0548340996126896,0.164261781351014,0.287917017544749,0.150703221385504,0.0934623469063039,0.165927246016591,0.039061111891935,0.110080960780583,0.0805361844032204,0.538611324687871,0.234080479535286,-0.0115051543782891,0.0477250540862671,-0.0291180395724845,-0.105820443955387,0.0700259657000516,-0.0997118517834111,-0.0997118517834111,-0.0772953202770735,-0.000142039125931606,0.0708803546836023,0.111802581987083,-0.0863670212444124,0.0166186954893907,0.0982910751446711,0.00625005168132215,-0.0828251377813297,-0.0339474385672685,-0.0225922265206494,0.0708857433556758,-0.119882180630514,0.0387821277635314,0.128281329441949,0.0610636807142061,0.229675842495908,0.131802173095614,-0.103454855895137,-0.0648330437212558,-0.0457055922831565,-0.0648330437212558,-0.0457055922831565,-0.0282044852974626,0.0310125604596755,-0.0922485564152449,-0.079645655059065,0.566655545097817
"Fusion",0.213988802961963,-0.0678523250247418,-0.132089962396681,1,-0.0678523250247418,-0.10920802077048,-0.0433021159419333,-0.050314465408805,-0.0827375700501085,-0.0873723004710978,0.343593199959996,0.339591662908235,0.240066893750318,0.35346937072682,0.1096397916016,0.202799389939214,-0.048078601372211,0.048078601372211,-0.119667334406865,-0.050314465408805,-0.0246955928858879,-0.0452160868341029,0.262691784909094,-0.0566104497391525,0.00361976868969224,-0.0827375700501085,-0.0394070501184394,0.107353162439376,0.125661660495394,-0.0678523250247418,-0.0433021159419333,0.0275985889873062,0.154730856409459,0.053471811087083,-0.0535351646341009,-0.0535351646341009,-0.0704644825207817,-0.0246955928858879,-0.0246955928858879,-0.050314465408805,0.0784364970138264,0.141647450927742,-0.0246955928858879,-0.082130673422919,-0.0246955928858879,-0.0351384519803881,-0.046917564532222,-0.0748338517893602,-0.172743432870237,-0.148894490353274,-0.101202571382689,0.00087256468445343,0.000290812736055137,-0.0927689640092232,-0.0767738699505439,-0.182628398323938,-0.103528400387855,-0.010469150596685,0.0110507629559071,0.0741566266977996,-0.0471118149802141,-0.0319894215725546,0.134645602922861,0.134645602922861,-0.0705294102101133,0.029081011344903,-0.0148319081476965,-0.0282130702309597,0.184970722252159,0.167217000085731,-0.124175918442736,0.0663082083996406,-0.078243344669694,0.0235556798833834,0.155929474017877,-0.0474075456070125,0.14540646169343,0.0119248893281906,-0.0354843657611389,-0.0246955928858879,-0.0303378733987105,-0.0174097440880005,0.289641818370529,-0.0246955928858879,0.34601866374901,-0.0246955928858879,-0.0174097440880005,-0.202665217248551,0.00873055468266047,-0.0351384519803881,0.391864198066678,-0.212529216368426
"GP1/2",-0.132780850062929,-0.0915032679738562,-0.17813189483828,-0.0678523250247418,1,-0.147274110147469,-0.0583957162473784,-0.0678523250247418,-0.111576987834096,-0.117827222878271,-0.2090476051981,-0.211795543885377,-0.221678159261412,-0.180825613055217,0.144774872648749,0.273488151154376,0.0677481713684532,-0.0677481713684532,-0.0573238764864919,0.0333203381817929,-0.0333036112290428,0.0712716198624504,-0.0450292843759032,0.378987813371145,-0.0450292843759032,-0.0450292843759032,-0.05314296696144,-0.0583957162473784,-0.0950259320426688,-0.0135387488328665,0.0577005291491953,-0.0194576908468322,-0.000500995464979517,-0.080325298075868,-0.0721956471462458,-0.0721956471462458,0.131678791544841,0.165328641458463,0.165328641458463,-0.0678523250247418,0.0738332922581374,-0.00580224513262375,-0.0333036112290428,-0.0781365420165132,-0.0333036112290428,-0.0473864850847115,0.0445482190163312,-0.228846942013173,-0.233515999732335,-0.122806978838603,-0.121239291812436,-0.0562579523478935,-0.0598354423709093,-0.142753011342495,-0.237098603458642,-0.123703380143994,-0.198329172080244,-0.0793315666286848,0.0535599779971278,0.0562493268458249,0.116757924654179,-0.0264441451234285,-0.110033898145059,-0.110033898145059,0.0348113132081726,-0.0493021670707952,-0.0560274274956458,-0.169671272743829,-0.0564781210484163,0.10510400090189,0.0822449787044628,-0.0961443043240563,0.116331226571397,0.183090792195392,0.145268767714694,-0.117442415900384,-0.0593872750653267,-0.130444961070424,0.008741292361846,-0.0333036112290428,-0.0409125930223745,-0.0234781708373247,-0.05314296696144,-0.0333036112290428,-0.0234781708373247,-0.0333036112290428,-0.0234781708373247,0.101835015443463,-0.0137614910554712,0.0939267829357675,-0.0409125930223745,-0.286609454142397
"GP1/Core",-0.10448863184466,-0.147274110147469,-0.28670250672015,-0.10920802077048,-0.147274110147469,1,-0.0939876502466988,-0.10920802077048,-0.17958267458706,-0.189642400591669,-0.120352474339741,-0.0803619085618039,-0.09320818656242,-0.0634624602843463,0.0871099192499789,-0.436951371461529,0.206846630508827,-0.206846630508827,-0.223103581101263,-0.0379668509709873,-0.0536020168138246,0.21226912473472,0.00785674201318386,0.133624946499387,-0.039003112136877,-0.039003112136877,0.182293001660799,0.069511699661621,0.0599029971773134,-0.092375055695176,-0.0939876502466988,-0.0997321176409526,-0.0765528543306704,-0.0679471449926179,0.0859385322040896,0.0859385322040896,0.00669129223789139,0.086265745809749,-0.0536020168138246,0.0332743188285057,0.0352885717010066,0.179514393068431,-0.0536020168138246,-0.239521205830405,-0.0536020168138246,0.122744360934959,0.125929907490354,-0.143809398632875,-0.179896052875861,-0.162850856151518,-0.102729452654713,-0.0602894639051458,-0.0752720048811093,0.004260665798724,-0.118035538564913,0.284042190961951,0.231179229943312,0.064382938090417,-0.0520744016763576,-0.0544415602089894,0.0927884306591552,0.133343574626049,-0.0575977781945827,-0.0575977781945827,0.041750386020333,0.137760728833113,0.0834803392812298,-0.0508201765701358,0.0127829937866344,0.101467097706884,-0.0550727312288163,0.0124669787804586,0.259161187945092,0.0220922700237472,0.0443579458472588,-0.0934293346552309,-0.047814323209104,-0.00536600533013546,-0.0187813090925802,-0.0536020168138246,-0.0658486397766393,-0.0377880134176757,-0.0855333732132779,-0.0536020168138246,-0.0377880134176757,0.086265745809749,-0.0377880134176757,0.113587198052269,0.126834129640701,0.0232380100799194,0.0487005565014728,0.513849449203091
"GP1/Head",0.211196177880867,-0.0583957162473784,-0.113680525471025,-0.0433021159419333,-0.0583957162473784,-0.0939876502466988,1,-0.0433021159419333,-0.0712063980398896,-0.0751951840166191,0.17907165439892,0.231201668130303,0.210679770457045,0.237637709833478,-0.11413213716978,-0.270780868380861,0.0902431537848759,-0.0902431537848759,-0.102989244680345,-0.0433021159419333,-0.0212537570996901,0.0923723298525821,0.0278891725656234,-0.0487206261303292,0.0278891725656234,-0.0712063980398896,-0.03391487198152,0.135610766045549,0.164412123890385,-0.0583957162473784,-0.0372670807453416,-0.0606438161890765,-0.0537139958300111,0.0784466078572239,-0.0460739448808819,0.096413995769253,-0.0606438161890765,-0.0212537570996901,-0.0212537570996901,-0.0433021159419333,-0.0751951840166191,0.18954152771087,-0.0212537570996901,-0.0221069565836354,-0.0212537570996901,-0.030241190268287,-0.0403786426543624,0.0722956512347524,0.0166855335182152,-0.0390435699704279,-0.0453843588178291,-0.0120152792883064,-0.060735107264165,0.123138364824377,0.00901007202012935,0.100111717872892,0.24427306365684,0.144828378480887,-0.172192154741374,-0.00400447903289251,0.0223586005116618,-0.00800903029287899,0.0944392680270519,0.0944392680270519,-0.157852650039327,0.182203678629282,-0.0100115909798053,0.047060086466031,-0.0587372401793916,-0.0377090871320614,-0.163516121846792,-0.120474363671637,-0.104804460689143,-0.126141333299965,0.0240353755940418,-0.0377131929478028,0.145163674058432,0.0987909595997064,0.0200255041909881,-0.0212537570996901,-0.0261096704629353,-0.0149833402957325,-0.03391487198152,0.274527695870997,-0.0149833402957325,-0.0212537570996901,0.402052964602155,-0.147818683980542,0.12158651478728,-0.030241190268287,-0.0261096704629353,0.203746650375202
"HR2",0.195202405994109,-0.0678523250247418,-0.132089962396681,-0.050314465408805,-0.0678523250247418,-0.10920802077048,-0.0433021159419333,1,-0.0827375700501085,-0.0873723004710978,0.316257990698325,0.279663722395017,0.256327582366411,0.187722405528258,-0.134650460242813,0.202799389939214,0.123974107824058,-0.123974107824058,-0.119667334406865,-0.050314465408805,0.233064657860567,0.0691943147006726,0.00361976868969224,-0.0566104497391525,-0.0827375700501085,-0.0827375700501085,-0.0394070501184394,-0.0433021159419333,0.32178780351157,-0.0678523250247418,-0.0433021159419333,-0.0704644825207817,-0.0624124462828069,0.053471811087083,-0.0535351646341009,-0.0535351646341009,0.223724732003482,-0.0246955928858879,-0.0246955928858879,0.474842767295597,-0.00446790172863568,-0.0941179075931844,0.233064657860567,-0.138574387256777,-0.0246955928858879,-0.0351384519803881,-0.046917564532222,0.0035494317054242,-0.0383874295267193,-0.0389684798971459,0.143661121445542,0.0971455348691486,0.0587441726831377,-0.125921509141046,-0.0154129360127986,-0.223923354632853,-0.182628751245991,0.165179931636586,-0.179138683706283,-0.0575804395535855,-0.000581627345434742,-0.0860806253225105,0.163435915426886,0.163435915426886,0.102005345345205,0.123594298215838,-0.0517662676527446,0.0157062452832147,-0.0276292745502438,-0.0625246174233603,-0.184664422040134,-0.0383889627576867,0.0602095626268649,-0.192225980282919,-0.036655062922113,0.108775595441857,0.0412954351209341,-0.0317027545554336,-0.0508997049852403,-0.0246955928858879,-0.0303378733987105,-0.0174097440880005,0.125117384126045,-0.0246955928858879,-0.0174097440880005,-0.0246955928858879,-0.0174097440880005,-0.0172126622868632,0.141276248501233,-0.0351384519803881,-0.0303378733987105,-0.212529216368426
"Mucin",-0.180914344248619,-0.111576987834096,-0.217209950019643,-0.0827375700501085,-0.111576987834096,-0.17958267458706,-0.0712063980398896,-0.0827375700501085,1,-0.143675815134498,-0.254907858685437,-0.258258632141602,-0.183771408027932,-0.220494608276937,-0.238541087636677,0.315575794046872,-0.305400941610826,0.305400941610826,0.291716117064923,0.0899771074294929,0.128935671319822,-0.300118770275541,-0.0224489795918367,-0.0930907446358678,-0.0792517006802721,-0.0224489795918367,-0.0648013159466449,-0.0712063980398896,-0.11587244366483,0.287709232915063,-0.0712063980398896,0.206639191202281,-0.0312171120189394,0.199455357868471,-0.088033717501903,-0.00635799070847077,-0.11587244366483,-0.0406096602582115,-0.0406096602582115,-0.0827375700501085,-0.0891443125720864,-0.154768353577657,-0.0406096602582115,0.254773127460819,-0.0406096602582115,0.0628379183413159,-0.077151674981046,0.208370838598189,0.240256214939702,0.329390981370539,0.0933473548088698,-0.0723166113021119,0.0696281243878451,0.262252338122254,0.290752183052382,-0.269901669404082,-0.196831576553224,-0.160678630999226,0.211751345166775,0.0135811962462251,0.0229544006535556,-0.203911067059785,-0.00994682365347353,-0.00994682365347353,0.0314389928300642,-0.212516891691577,-0.0967937372447142,-0.0279319568155142,0.11439760996944,-0.211561969105291,0.214621019332087,0.0510756142820501,-0.248718660283177,0.0625501373903248,-0.210295997567491,-0.0365395441344326,0.0470564000907195,-0.0218094765518169,-0.11689294952071,-0.0406096602582115,-0.0498878782692556,-0.0286287434305787,-0.0648013159466449,-0.0406096602582115,-0.0286287434305787,-0.0406096602582115,-0.0286287434305787,0.124175283908622,-0.116419010896112,-0.0577819938770721,-0.0498878782692556,-0.349484999673674
"Unknown",-0.191845706848644,-0.117827222878271,-0.229377452189309,-0.0873723004710978,-0.117827222878271,-0.189642400591669,-0.0751951840166191,-0.0873723004710978,-0.143675815134498,1,-0.157754124716474,-0.182034529997658,-0.307294147362776,-0.199212781238059,-0.12395922094444,0.332601319980105,-0.0834896678557938,0.0834896678557938,0.00536106922393489,0.161340895756289,-0.0428845013935118,-0.0785188413093051,0.0199186925527373,-0.0983054313352126,-0.0891443125720864,0.0744501951151491,-0.0684313068946044,0.0199381169741036,-0.122363298294505,0.00994645387933457,0.0199381169741036,0.00148319149447885,0.0972963464226789,0.0393218411171249,0.142264810192815,-0.0145551455972847,0.00148319149447885,-0.0428845013935118,0.119881674350044,-0.0873723004710978,-0.0993730407523511,-0.014560844434599,-0.0428845013935118,0.0979625338554091,-0.0428845013935118,0.0547782245411251,0.00687763302997038,-0.0397837205686346,-0.128546825205363,0.0514179682831898,0.0404001705336803,-0.014142145993144,0.064456801797858,-0.0795148298754019,0.114221564557251,-0.267924341875621,-0.120832458968924,-0.105406902878568,0.0124872208687747,0.143603410000751,-0.103571946733206,0.048296723056498,0.125240205954791,0.125240205954791,0.0717740920484042,-0.0558253305874665,0.0464617524428788,0.0826493311981398,-0.00734605341953254,0.038563823987152,-0.00661089441167366,0.0367291312827344,0.0977135908598974,0.0383800136695551,-0.0541918097133313,0.108174121281544,0.105775332625638,0.0683221704396468,-0.0301209925487102,-0.0428845013935118,-0.0526824595811445,-0.0302324466576863,0.0354598590272041,-0.0428845013935118,-0.0302324466576863,-0.0428845013935118,-0.0302324466576863,0.0725779861867433,-0.17315913892282,-0.0610187817673292,-0.0526824595811445,-0.369062185209653
"Neut_VSV",0.666293792703862,0.445559372813807,-0.128780103046706,0.343593199959996,-0.2090476051981,-0.120352474339741,0.17907165439892,0.316257990698325,-0.254907858685437,-0.157754124716474,1,0.971974395564802,0.781494288843772,0.857491547936695,0.0130299192524885,0.0651028038170389,0.183192982146206,-0.183192982146206,-0.192705799833029,-0.0885799186200997,0.049591215994724,0.163278846113878,0.0416501233387812,-0.17441228348243,0.10241833607897,-0.0873969801207212,-0.121409980456489,0.145719062448789,0.454866666026862,-0.118389204984638,-0.0468524505966132,-0.027912272688012,-0.0323341045821636,-0.0461755336964435,-0.05432467754303,-0.0297803955205767,-0.0408346211546842,-0.0760851533069737,-0.0760851533069737,0.0557084644446721,0.180914702583435,-0.110188513200484,0.177305580474287,-0.0754205148059267,0.010869307615282,-0.0410803367635256,0.0302373487049978,0.111378871474778,0.0911763092439893,-0.195042059658076,0.000760308642765753,0.0569955337304918,0.0283936154789189,-0.0652017891977964,-0.0739640651471938,-0.163632838317116,0.105454589319277,0.283445776227881,-0.256787495095729,-0.203170613024642,0.00732031244645378,0.0666667130730994,0.0578430901418549,0.0578430901418549,-0.113301696466978,0.214970518906471,0.0741379411491446,0.0976256588365052,-0.00682414430388888,0.00491518393841144,-0.2744259652064,-0.0279549022337411,-0.00864326103513467,-0.260298935358138,0.116737260342606,0.0704083054963767,0.0199068144977997,0.0328011362400824,0.043462120132428,0.13790434036889,0.135195609956141,0.0909930931941464,0.27707491968463,0.188854219815524,0.143673305043389,0.152170306613947,0.0909930931941464,-0.470923639461275,0.269330757574793,0.0729780100152042,0.136864691560538,-0.146231498411886
