"","Protection","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","Mucin","Unknown","Neut_micro","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","sGP.binderTRUE"
"Protection",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299248429669071,0.334681616622994,NA,NA,0.31386012876084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303877426190361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.343086520208794,NA,NA,NA
"Cap",NA,1,NA,NA,-0.294883912309794,NA,NA,NA,NA,NA,-0.569150540064069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366237399100622,NA,NA,NA,NA,NA,NA,0.544210075117716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571428571428571
"Fusion",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284067925525857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP1/2",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.339460634653367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.306375616436879,NA,NA,NA,NA,NA,NA,-0.334277224891386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349049341838621
"GP1/Core",NA,-0.294883912309794,NA,NA,1,NA,NA,-0.285386041874002,NA,NA,-0.502413713919986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290723653190773,-0.348361343703916,NA,NA,NA,NA,-0.30386941837853,0.29577849937125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589767824619589
"GP1/Head",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284067925525857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.411420637352844,-0.288292728201125,0.288292728201125,0.286723027499661,NA,NA,-0.288292728201125,NA,NA,NA,NA,NA,NA,0.317372370560967,NA,NA,NA,0.398992847454436,0.377519050421485,0.372054146481527,NA,NA,NA,0.472589514948543,0.326163347469792,-0.382980846818723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.376503863998505,NA,-0.342779267814452,NA,NA,NA,NA,-0.451405719157025
"Unknown",NA,NA,NA,NA,-0.285386041874002,NA,NA,1,NA,NA,0.438515984142187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.352658224979499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483895577141871
"Neut_micro",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.311142462961297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357650205332835,NA,NA,NA,NA,NA,0.390976462248288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP_EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.493027902225591,NA,-0.452534263986511,NA,NA,-0.296540261250825,-0.432428882248452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
